galaxy,mean_abs_W,std_W,max_abs_W,frac_W_gt_1
CamB,0.5411848159546525,0.4162951357273362,0.7824082631654723,0.0
D512-2,1.5382038331830998,0.33466539769494386,1.8937545180933901,1.0
D564-8,2.565799389255496,1.6520422218374053,4.782534156272754,0.8333333333333334
D631-7,3.0144556625141883,2.779723561382822,7.332645986712088,0.625
DDO064,2.1818499874633552,1.4287699465307846,6.729627820650585,0.9285714285714286
DDO154,3.82526784907211,2.077113551386011,6.296075318348423,0.8333333333333334
DDO161,1.3643033982269264,1.132916665213881,3.560361187461394,0.5806451612903226
DDO168,1.591922540278526,1.0747516614714947,2.727328600796577,0.6
DDO170,2.2582879853339763,0.7506735801028686,3.576829260646478,0.875
ESO079-G014,0.5074221412980501,0.38089779163291326,0.8621423646525541,0.0
ESO116-G012,1.2461158020653942,0.8951192035733079,2.817659059185645,0.5333333333333333
ESO444-G084,5.716330679057044,3.8471123428749463,12.962361585348098,1.0
ESO563-G021,0.5914478807964262,0.6080427892491126,1.5089981415051965,0.16666666666666666
F561-1,0.16846241792134353,0.1999485699796218,0.35251813873915344,0.0
F563-V1,0.11345662711630067,0.1599484433240115,0.24825673758827618,0.0
F563-V2,3.650955933669978,0.6908207450468631,4.656087080454222,1.0
F565-V2,4.429167203725734,1.4572514574602737,5.970767270931056,1.0
F567-2,0.6588582755355322,0.371843656500306,1.0904544867418298,0.2
F568-1,3.6435232682465775,1.6058710244288095,5.822090730120251,0.9166666666666666
F568-3,1.5486449581660295,0.8126278489476473,2.6743496382003142,0.7777777777777778
F568-V1,3.7353082288330417,1.1257844086267517,4.81354737742586,1.0
F571-8,1.4711974950115034,1.9758693986543547,5.480560365954142,0.38461538461538464
F571-V1,2.2434527036875793,1.0104926777259464,3.583008775623783,0.8571428571428571
F574-1,1.8762647995283281,0.6717108987343908,2.447634244291486,0.8571428571428571
F574-2,0.38084834255969635,0.1889645495962189,0.7068911053192543,0.0
F579-V1,1.8805083274460384,0.9469480102671592,4.316087579111056,1.0
F583-1,3.6643038072183582,1.8433607670451297,7.2448865921960595,0.84
F583-4,1.3840400343483816,0.5324979430171659,2.6381836092662607,0.75
IC2574,1.4828971679554888,0.6966057500157729,2.6025694358869176,0.7941176470588235
IC4202,0.22677520827946607,0.3298797409981112,0.93281225588742,0.0
KK98-251,1.01849531390931,0.31407418029617545,1.5531825720688415,0.4
NGC0024,1.4207492431202695,1.01563762540453,4.9750935386079185,0.7586206896551724
NGC0055,0.8542202489891493,0.47762648164871346,1.3098876852507848,0.5714285714285714
NGC0100,1.2077860199358799,1.0981909050159675,3.0036365363988433,0.47619047619047616
NGC0247,1.4680027779042615,0.304136565998018,2.194426513946536,1.0
NGC0289,1.1603598151799492,1.013898043948018,2.762701345638746,0.5357142857142857
NGC0300,1.9824645280073583,1.111536509281782,4.10954732704148,0.76
NGC0801,0.291485109986826,0.3438975698058981,0.5813086604895532,0.0
NGC0891,0.28700912920514177,0.24116929652016328,0.6754824706311437,0.0
NGC1003,2.7039608626667326,2.030055755708208,5.9951354527532805,0.7777777777777778
NGC1090,0.3712511382632358,0.4447311092916307,0.8264044127814092,0.0
NGC1705,4.268104674139626,2.5213579809332862,7.773537613587472,0.9285714285714286
NGC2366,1.270807533948433,0.7945864941889846,2.15112675819321,0.6923076923076923
NGC2683,0.49854335350511697,0.5258205754295702,1.1880573963700376,0.2727272727272727
NGC2841,1.1668772238752299,1.189085210552602,3.9117810069856835,0.42
NGC2903,0.5087530932617765,0.5920764036235694,1.124684276998631,0.058823529411764705
NGC2915,6.187063145971662,3.4185513231952913,10.091944881309628,0.8666666666666667
NGC2955,0.2214375807596821,0.19310149634587445,0.4312226728611636,0.0
NGC2976,0.15494749853780845,0.19783539714717388,0.68031857526064,0.0
NGC2998,0.6296956155282406,0.8247866300235358,3.079384623318689,0.07692307692307693
NGC3109,4.709483081084391,1.6914931760921015,7.449970849560411,1.0
NGC3198,0.773642586317604,0.9722843072350992,2.6473275288127947,0.32558139534883723
NGC3521,0.3691260105006302,0.2699784626887399,0.8054616900927904,0.0
NGC3726,0.5114031813595438,0.6875952033708694,1.440409306929532,0.25
NGC3741,6.572310762409183,3.8051892636812,12.647491071025835,0.9047619047619048
NGC3769,1.1997027756962753,1.3245409114086257,3.0808052187180004,0.3333333333333333
NGC3877,0.26913086327326663,0.2654503652752961,0.862313618229074,0.0
NGC3893,0.3873752145305926,0.43995811057484396,0.7366654330526294,0.0
NGC3917,0.5815460922430873,0.3670378497081334,1.1276116989057063,0.058823529411764705
NGC3949,0.2771467982286854,0.19522839350941032,0.4290572001826551,0.0
NGC3953,0.14371428797806785,0.049933094368866476,0.21370406506238004,0.0
NGC3972,0.4824189930121389,0.3220721904355165,0.9013506514794396,0.0
NGC3992,0.5837669485977998,0.3943467160411953,1.2587330015452716,0.2222222222222222
NGC4010,0.37105225343998843,0.3688670146226314,0.6043354913858966,0.0
NGC4013,0.5965841871879596,0.6219388715734463,1.5331824595743364,0.25
NGC4051,0.289618735791894,0.10879861889463208,0.48737789293091976,0.0
NGC4068,0.45477982245038673,0.564113091889127,0.9385474249631502,0.0
NGC4085,0.38794648652795904,0.24649879223260826,0.8018435435916609,0.0
NGC4088,0.3604292259004962,0.23703278253439802,0.6166338430238179,0.0
NGC4100,0.41750146254199155,0.3389069098944399,0.9379356206150481,0.0
NGC4138,0.4339872410255324,0.464736012514935,1.0386709235565275,0.14285714285714285
NGC4157,0.399601568943291,0.4802316664569889,0.93256248530709,0.0
NGC4183,1.143674516980765,0.5304879828517878,2.4172417065451914,0.4782608695652174
NGC4214,2.3090840149866243,1.5923735923297562,4.865156015248197,0.7142857142857143
NGC4217,0.355266626568569,0.38396214555254754,0.9050161210777817,0.0
NGC4389,0.6836627640045547,0.17218513115705622,0.9007266922280105,0.0
NGC4559,0.5167761463305391,0.5197923668715372,1.0488706506622005,0.125
NGC5005,0.31070285371926654,0.10785623701337933,0.46635870226580445,0.0
NGC5033,0.8430949856044229,0.7657531390946244,1.9839985485786318,0.4090909090909091
NGC5055,0.5346013604481067,0.614034996566963,1.1605057733499158,0.10714285714285714
NGC5371,0.2261425906074502,0.16741336155325812,0.38030355331045346,0.0
NGC5585,0.9390152235951849,1.0786245055564507,2.5184380388356082,0.375
NGC5907,0.523537397501337,0.4291352511614576,1.302192784334822,0.21052631578947367
NGC5985,0.9441171285987681,0.23696260255972051,1.3831883697056402,0.3939393939393939
NGC6015,0.9210505735201907,0.8947340476097095,2.790114442053145,0.38636363636363635
NGC6195,0.2631502530325856,0.15235364429804427,0.48007169913981235,0.0
NGC6503,1.5099843911059747,1.1567940880165797,3.4479810785108276,0.6129032258064516
NGC6674,1.2001215374668488,0.89082486719398,2.857500745001403,0.4666666666666667
