galaxy,radius_kpc,delta_v2,delta_sign,vobs,vbar,W,r_norm,radial_bin
CamB,0.16,-13.562,negative,1.99,4.185940754478018,-0.7739939847392721,0.0893854748603352,core
CamB,0.41,-84.2329,negative,4.84,10.375861410022784,-0.7824082631654723,0.22905027932960892,inner_disk
CamB,0.57,-123.6656,negative,6.79,13.02957021547526,-0.7284315163424332,0.3184357541899441,inner_disk
CamB,0.73,-155.39440000000002,negative,8.87,15.299388876683931,-0.6638763487877413,0.4078212290502793,mid_disk
CamB,0.9,-160.60290000000003,negative,10.9,16.715648357153245,-0.5747869908654899,0.5027932960893855,mid_disk
CamB,1.06,-137.0812,negative,12.9,17.420998823259247,-0.45168097130987644,0.5921787709497207,mid_disk
CamB,1.22,-86.87170000000003,negative,14.7,17.405795012006777,-0.28674152541393855,0.6815642458100558,outer_disk
CamB,1.47,-35.85640000000001,negative,16.8,17.835257217096704,-0.1127218038305369,0.8212290502793296,edge
CamB,1.79,133.95380000000006,positive,20.1,16.433386747715762,0.49602193913711307,1.0,edge
D512-2,0.96,287.2411,positive,22.9,15.40028895832802,1.2111246457693234,0.2506527415143603,inner_disk
D512-2,1.92,633.8724,positive,33.5,22.09926695616848,1.297914564468149,0.5013054830287206,mid_disk
D512-2,2.88,905.6239000000004,positive,37.2,21.86815264259878,1.8937545180933901,0.7519582245430809,outer_disk
D512-2,3.83,820.1555000000001,positive,35.9,21.64842950423887,1.7500216044015369,1.0,edge
D564-8,0.51,20.441099999999985,positive,8.54,7.245032781154272,0.3894247530505517,0.16612377850162868,core
D564-8,1.02,124.6055,positive,15.1,10.168800322555262,1.2050297617608519,0.33224755700325737,inner_disk
D564-8,1.53,269.21630000000005,positive,19.8,11.082585438425458,2.1918921185406406,0.49837133550488605,mid_disk
D564-8,2.04,355.9879,positive,21.9,11.118547567016115,2.8796461150554804,0.6644951140065147,outer_disk
D564-8,2.56,459.5486,positive,24.0,10.791264986089445,3.9462694308526984,0.8338762214983714,edge
D564-8,3.07,516.9159,positive,25.0,10.39635032114636,4.782534156272754,1.0,edge
D631-7,0.45,-99.632,negative,8.41,13.052206709978202,-0.5848317769242916,0.06258692628650904,core
D631-7,0.9,-106.55049999999994,negative,17.8,20.57645499108143,-0.2516601104653977,0.12517385257301808,core
D631-7,1.35,-33.86760000000004,negative,26.0,26.643340631384795,-0.047709741929340126,0.18776077885952713,core
D631-7,1.8,147.6947,positive,30.9,28.40977472631559,0.18299083166927949,0.25034770514603616,inner_disk
D631-7,2.25,411.2736000000002,positive,34.7,28.156995578363823,0.5187501166726626,0.3129346314325452,inner_disk
D631-7,2.69,728.7302999999998,positive,38.8,27.86951201582116,0.9382273711787039,0.3741307371349096,inner_disk
D631-7,3.14,1075.1475,positive,42.5,27.03890715247197,1.4705838100676718,0.43671766342141866,mid_disk
D631-7,3.59,1388.2455000000002,positive,45.6,26.28905665861748,2.008705503936034,0.4993045897079276,mid_disk
D631-7,4.04,1729.8586999999998,positive,48.8,25.52609057415569,2.654862409341705,0.5618915159944367,mid_disk
D631-7,4.49,2077.2699,positive,51.8,24.61645994045448,3.428007256463643,0.6244784422809457,outer_disk
D631-7,4.94,2437.2766999999994,positive,54.8,23.785779364990336,4.307944152616472,0.6870653685674548,outer_disk
D631-7,5.39,2678.5728,positive,56.6,22.91259915417716,5.102167824282194,0.7496522948539638,outer_disk
D631-7,5.84,2922.495,positive,58.4,22.092193191261025,5.9879216907584025,0.8122392211404729,edge
D631-7,6.29,2968.4026000000003,positive,58.5,21.303694515271285,6.540530142951137,0.8748261474269818,edge
