galaxy,radial_bin,n_points,mean_W,mean_abs_W,max_abs_W,frac_W_neg,frac_W_gt_1
CamB,core,1,-0.7739939847392721,0.7739939847392721,0.7739939847392721,1.0,0.0
CamB,inner_disk,2,-0.7554198897539528,0.7554198897539528,0.7824082631654723,1.0,0.0
CamB,mid_disk,3,-0.5634481036543691,0.5634481036543691,0.6638763487877413,1.0,0.0
CamB,outer_disk,1,-0.28674152541393855,0.28674152541393855,0.28674152541393855,1.0,0.0
CamB,edge,2,0.19165006765328807,0.304371871483825,0.49602193913711307,0.5,0.0
D512-2,core,0,,,,,
D512-2,inner_disk,1,1.2111246457693234,1.2111246457693234,1.2111246457693234,0.0,1.0
D512-2,mid_disk,1,1.297914564468149,1.297914564468149,1.297914564468149,0.0,1.0
D512-2,outer_disk,1,1.8937545180933901,1.8937545180933901,1.8937545180933901,0.0,1.0
D512-2,edge,1,1.7500216044015369,1.7500216044015369,1.7500216044015369,0.0,1.0
D564-8,core,1,0.3894247530505517,0.3894247530505517,0.3894247530505517,0.0,0.0
D564-8,inner_disk,1,1.2050297617608519,1.2050297617608519,1.2050297617608519,0.0,1.0
D564-8,mid_disk,1,2.1918921185406406,2.1918921185406406,2.1918921185406406,0.0,1.0
D564-8,outer_disk,1,2.8796461150554804,2.8796461150554804,2.8796461150554804,0.0,1.0
D564-8,edge,2,4.364401793562726,4.364401793562726,4.782534156272754,0.0,1.0
D631-7,core,3,-0.29473387643967647,0.29473387643967647,0.5848317769242916,1.0,0.0
D631-7,inner_disk,3,0.546656106506882,0.546656106506882,0.9382273711787039,0.0,0.0
D631-7,mid_disk,3,2.044717241115137,2.044717241115137,2.654862409341705,0.0,1.0
D631-7,outer_disk,3,4.279373077787437,4.279373077787437,5.102167824282194,0.0,1.0
D631-7,edge,4,6.6837124236699035,6.683712423669903,7.332645986712088,0.0,1.0
DDO064,core,3,3.8458856783367743,3.8458856783367743,6.729627820650585,0.0,1.0
DDO064,inner_disk,3,1.0838406672840188,1.083840667284019,1.3886948151121303,0.0,0.6666666666666666
DDO064,mid_disk,3,2.1547756631116055,2.1547756631116055,2.2200397075092035,0.0,1.0
DDO064,outer_disk,4,1.8749806549494135,1.8749806549494135,2.012504827169078,0.0,1.0
DDO064,edge,1,1.7924711784921274,1.7924711784921274,1.7924711784921274,0.0,1.0
DDO154,core,2,0.44781572611098164,0.44781572611098164,0.7451013468654494,0.0,0.0
DDO154,inner_disk,2,2.3548110126715547,2.3548110126715547,2.7878709826976693,0.0,1.0
DDO154,mid_disk,3,3.955052864827332,3.955052864827332,4.237155060767438,0.0,1.0
DDO154,outer_disk,2,4.944058066744166,4.944058066744166,5.2637146652652875,0.0,1.0
DDO154,edge,3,6.181561994443309,6.181561994443309,6.296075318348423,0.0,1.0
DDO161,core,8,0.08991794439875889,0.08991794439875889,0.2486556222426538,0.0,0.0
DDO161,inner_disk,6,0.5682201450832789,0.5682201450832789,1.0588291458636105,0.0,0.16666666666666666
DDO161,mid_disk,5,1.539629015511933,1.539629015511933,1.7689679505529392,0.0,1.0
DDO161,outer_disk,6,2.02754353522822,2.02754353522822,2.457968183277437,0.0,1.0
